ReportDt|Unit|Power
10/1/2023 12:00:00 AM|Arkansas Nuclear 2|100
10/1/2023 12:00:00 AM|Beaver Valley 1|100
10/1/2023 12:00:00 AM|Beaver Valley 2|100
10/1/2023 12:00:00 AM|Braidwood 1|100
10/1/2023 12:00:00 AM|Braidwood 2|100
10/1/2023 12:00:00 AM|Browns Ferry 1|100
10/1/2023 12:00:00 AM|Browns Ferry 2|100
10/1/2023 12:00:00 AM|Browns Ferry 3|100
10/1/2023 12:00:00 AM|Brunswick 1|100
10/1/2023 12:00:00 AM|Brunswick 2|100
10/1/2023 12:00:00 AM|Byron 1|100
10/1/2023 12:00:00 AM|Byron 2|94
10/1/2023 12:00:00 AM|Callaway|0
10/1/2023 12:00:00 AM|Calvert Cliffs 1|73
10/1/2023 12:00:00 AM|Calvert Cliffs 2|100
10/1/2023 12:00:00 AM|Catawba 1|100
10/1/2023 12:00:00 AM|Catawba 2|100
10/1/2023 12:00:00 AM|Clinton|0
10/1/2023 12:00:00 AM|Columbia Generating Station|100
10/1/2023 12:00:00 AM|Comanche Peak 1|100
10/1/2023 12:00:00 AM|Comanche Peak 2|100
10/1/2023 12:00:00 AM|Cooper|80
10/1/2023 12:00:00 AM|D.C. Cook 1|100
10/1/2023 12:00:00 AM|D.C. Cook 2|100
10/1/2023 12:00:00 AM|Davis-Besse|100
10/1/2023 12:00:00 AM|Diablo Canyon 1|0
10/1/2023 12:00:00 AM|Diablo Canyon 2|100
10/1/2023 12:00:00 AM|Dresden 2|90
10/1/2023 12:00:00 AM|Dresden 3|100
10/1/2023 12:00:00 AM|Farley 1|100
10/1/2023 12:00:00 AM|Farley 2|93
10/1/2023 12:00:00 AM|Fermi 2|100
10/1/2023 12:00:00 AM|FitzPatrick|100
10/1/2023 12:00:00 AM|Ginna|100
10/1/2023 12:00:00 AM|Grand Gulf 1|100
10/1/2023 12:00:00 AM|Harris 1|100
10/1/2023 12:00:00 AM|Hatch 1|100
10/1/2023 12:00:00 AM|Hatch 2|100
10/1/2023 12:00:00 AM|Hope Creek 1|100
10/1/2023 12:00:00 AM|LaSalle 1|100
10/1/2023 12:00:00 AM|LaSalle 2|100
10/1/2023 12:00:00 AM|Limerick 1|100
10/1/2023 12:00:00 AM|Limerick 2|100
10/1/2023 12:00:00 AM|McGuire 1|0
10/1/2023 12:00:00 AM|McGuire 2|100
10/1/2023 12:00:00 AM|Millstone 2|68
10/1/2023 12:00:00 AM|Millstone 3|100
10/1/2023 12:00:00 AM|Monticello|0
10/1/2023 12:00:00 AM|Nine Mile Point 1|100
